iter	Passed	Remaining
0	79	23813
1	95	14162
2	110	10928
3	125	9295
4	141	8319
5	156	7664
6	170	7147
7	184	6747
8	199	6450
9	214	6214
10	228	5997
11	242	5808
12	255	5642
13	269	5500
14	282	5362
15	296	5268
16	311	5185
17	325	5101
18	339	5024
19	354	4966
20	367	4885
21	382	4832
22	396	4780
23	411	4731
24	427	4699
25	442	4664
26	457	4621
27	472	4586
28	486	4543
29	499	4498
30	513	4456
31	527	4420
32	541	4378
33	555	4346
34	570	4320
35	584	4283
36	598	4251
37	613	4229
38	627	4200
39	641	4171
40	656	4145
41	670	4119
42	685	4099
43	700	4073
44	714	4051
45	729	4025
46	744	4008
47	759	3988
48	775	3972
49	796	3982
50	811	3962
51	827	3945
52	841	3920
53	854	3893
54	868	3870
55	883	3850
56	896	3820
57	910	3800
58	925	3781
59	940	3763
60	955	3745
61	970	3724
62	984	3705
63	999	3684
64	1012	3661
65	1026	3639
66	1042	3624
67	1056	3604
68	1069	3579
69	1083	3561
70	1097	3538
71	1110	3516
72	1124	3497
73	1139	3480
74	1153	3460
75	1166	3437
76	1180	3420
77	1194	3400
78	1208	3380
79	1223	3363
80	1239	3350
81	1252	3330
82	1267	3313
83	1281	3295
84	1295	3276
85	1308	3255
86	1322	3236
87	1336	3219
88	1351	3203
89	1365	3186
90	1379	3167
91	1391	3145
92	1405	3128
93	1419	3111
94	1433	3092
95	1447	3076
96	1460	3056
97	1475	3040
98	1489	3024
99	1503	3006
100	1518	2991
101	1532	2975
102	1546	2958
103	1561	2942
104	1575	2925
105	1588	2907
106	1602	2890
107	1615	2872
108	1630	2856
109	1645	2841
110	1658	2823
111	1672	2807
112	1688	2793
113	1701	2776
114	1715	2759
115	1728	2742
116	1742	2726
117	1755	2708
118	1769	2691
119	1784	2677
120	1799	2662
121	1814	2647
122	1828	2631
123	1843	2616
124	1858	2601
125	1874	2588
126	1887	2571
127	1902	2556
128	1916	2540
129	1930	2524
130	1944	2508
131	1958	2492
132	1972	2476
133	1986	2460
134	2000	2445
135	2014	2429
136	2028	2413
137	2044	2400
138	2058	2384
139	2073	2370
140	2086	2353
141	2100	2337
142	2116	2324
143	2130	2308
144	2145	2293
145	2159	2277
146	2172	2261
147	2187	2246
148	2200	2230
149	2214	2214
150	2228	2199
151	2242	2183
152	2257	2168
153	2271	2153
154	2285	2137
155	2299	2122
156	2313	2107
157	2329	2093
158	2343	2078
159	2356	2062
160	2369	2046
161	2383	2030
162	2397	2015
163	2411	1999
164	2424	1983
165	2438	1968
166	2453	1954
167	2467	1938
168	2480	1922
169	2493	1907
170	2508	1892
171	2523	1878
172	2538	1863
173	2553	1848
174	2567	1834
175	2583	1819
176	2596	1804
177	2609	1788
178	2623	1773
179	2635	1757
180	2648	1741
181	2663	1726
182	2677	1712
183	2692	1697
184	2706	1682
185	2720	1667
186	2735	1652
187	2747	1636
188	2760	1621
189	2775	1606
190	2789	1591
191	2803	1577
192	2817	1562
193	2832	1547
194	2845	1532
195	2862	1518
196	2876	1504
197	2891	1489
198	2906	1474
199	2921	1460
200	2934	1445
201	2946	1429
202	2960	1414
203	2975	1400
204	2989	1385
205	3002	1369
206	3015	1354
207	3028	1339
208	3040	1323
209	3054	1309
210	3068	1294
211	3082	1279
212	3097	1265
213	3112	1250
214	3126	1235
215	3139	1220
216	3152	1205
217	3166	1191
218	3180	1176
219	3193	1161
220	3206	1146
221	3220	1131
222	3234	1116
223	3248	1102
224	3261	1087
225	3276	1072
226	3290	1058
227	3304	1043
228	3318	1028
229	3333	1014
230	3347	999
231	3360	985
232	3373	970
233	3386	955
234	3401	940
235	3415	926
236	3429	911
237	3444	897
238	3458	882
239	3472	868
240	3486	853
241	3501	839
242	3515	824
243	3530	810
244	3542	795
245	3557	780
246	3571	766
247	3585	751
248	3599	737
249	3612	722
250	3625	707
251	3638	693
252	3653	678
253	3677	666
254	3693	651
255	3708	637
256	3725	623
257	3738	608
258	3752	593
259	3767	579
260	3783	565
261	3798	550
262	3812	536
263	3825	521
264	3840	507
265	3854	492
266	3867	478
267	3884	463
268	3903	449
269	3918	435
270	3934	420
271	3949	406
272	3963	391
273	3978	377
274	3993	363
275	4007	348
276	4021	333
277	4037	319
278	4051	304
279	4066	290
280	4080	275
281	4096	261
282	4110	246
283	4125	232
284	4140	217
285	4155	203
286	4170	188
287	4184	174
288	4200	159
289	4214	145
290	4229	130
291	4244	116
292	4259	101
293	4272	87
294	4287	72
295	4300	58
296	4314	43
297	4329	29
298	4344	14
299	4359	0
